day,minsPlayed
2024-10-10,251.8624
2024-10-11,190.2665
2024-10-12,135.8774
2024-10-13,4.3323
2024-10-14,114.8715
2024-10-15,151.8799
2024-10-16,97.4073
2024-10-17,182.0046
2024-10-18,200.8495
2024-10-19,118.1651
2024-10-20,98.6157
2024-10-21,70.8697
2024-10-22,130.8431
2024-10-23,52.7685
2024-10-24,159.4357
2024-10-25,233.5701
2024-10-26,303.8341
2024-10-27,165.0667
2024-10-28,211.7175
2024-10-29,145.8288
2024-10-30,138.0341
2024-10-31,77.9139
2024-11-01,75.5242
2024-11-02,271.0480
2024-11-03,246.1083
2024-11-04,178.6415
2024-11-05,317.1192
2024-11-06,280.2344
2024-11-07,135.7027
2024-11-08,152.3391
2024-11-09,34.7318
2024-11-10,177.7299
2024-11-11,197.0106
2024-11-12,355.0913
2024-11-13,140.6474
2024-11-14,94.0351
2024-11-15,161.5728
2024-11-16,106.7538
2024-11-17,8.1578
2024-11-18,103.6568
2024-11-19,147.8208
2024-11-20,10.3179
2024-11-21,136.9889
2024-11-22,53.9288
2024-11-23,96.3925
2024-11-24,377.3588
2024-11-25,302.8365
2024-11-26,239.1930
2024-11-27,132.3121
2024-11-28,156.8160
2024-11-29,110.4480
2024-11-30,29.4735
2024-12-01,408.3587
2024-12-02,97.6382
2024-12-03,155.6389
2024-12-04,345.9953
2024-12-05,381.3947
2024-12-06,279.0004
2024-12-07,195.3400
2024-12-08,262.3909
2024-12-09,309.6580
2024-12-10,306.8714
2024-12-11,301.1037
2024-12-12,181.9682
2024-12-13,190.0852
2024-12-14,341.8207
2024-12-15,306.2248
2024-12-16,174.1568
2024-12-17,285.2038
2024-12-18,144.4899
2024-12-19,298.1153
2024-12-20,28.4490
2024-12-21,21.8378
2024-12-22,8.4018
2024-12-23,134.8269
2024-12-24,158.2929
2024-12-25,21.3302
2024-12-26,122.9479
2024-12-27,137.3294
2024-12-28,326.8858
2024-12-29,31.8032
2024-12-30,38.8228
2024-12-31,41.1631
2025-01-01,22.5416
2025-01-02,10.7761
2025-01-04,20.0361
2025-01-05,45.1364
2025-01-06,281.6894
2025-01-07,88.2273
2025-01-08,173.7136
2025-01-09,67.7656
2025-01-10,58.0901
2025-01-11,111.0718
2025-01-12,42.7989
2025-01-13,248.0823
2025-01-14,185.3663
2025-01-15,295.7935
2025-01-16,108.5691
2025-01-17,64.5840
2025-01-18,129.5275
2025-01-19,89.4938
2025-01-20,95.8493
2025-01-21,241.9912
2025-01-22,222.1386
2025-01-23,58.2005
2025-01-24,83.0568
2025-01-25,331.9719
2025-01-26,170.2927
2025-01-27,161.4347
2025-01-28,61.7191
2025-01-29,129.3908
2025-01-30,12.0138
2025-01-31,30.0324
2025-02-01,216.2268
2025-02-02,267.2244
2025-02-03,213.3564
2025-02-04,189.1711
2025-02-05,117.0199
2025-02-06,146.0917
2025-02-07,214.3421
2025-02-08,67.3640
2025-02-09,114.7477
2025-02-10,93.0266
2025-02-11,199.2461
2025-02-12,14.4778
2025-02-13,121.1001
2025-02-14,250.1406
2025-02-15,5.3088
2025-02-16,185.3078
2025-02-17,133.6324
2025-02-18,84.1463
2025-02-19,113.8357
2025-02-20,113.3140
2025-02-21,221.0391
2025-02-22,1.8124
2025-02-23,131.4491
2025-02-24,175.7405
2025-02-25,135.0599
2025-02-26,9.4113
2025-02-27,64.9864
2025-02-28,78.7267
2025-03-01,18.6954
2025-03-04,49.1269
2025-03-05,47.1666
2025-03-07,189.5518
2025-03-08,452.2884
2025-03-09,151.5783
2025-03-10,246.3438
2025-03-11,173.7407
2025-03-12,186.5748
2025-03-13,139.6858
2025-03-14,224.2116
2025-03-15,157.9695
2025-03-16,202.0864
2025-03-17,90.8545
2025-03-18,237.1418
2025-03-19,78.3076
2025-03-20,68.3515
2025-03-21,99.7642
2025-03-22,106.8441
2025-03-23,308.1884
2025-03-24,249.4376
2025-03-25,203.7002
